variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_148x148_1,generated 148*148,6.700000,5,148,148,289,38.069988,38.068849,37.986921,38.160723,92103559,92100804,91902594,92323078,4204.873950,0.575361,0.498838,27283623.800000,861560.200000,0.031578,4704201.600000,95.800000,15848117.800000,75.600000,0.000005,4707515.400000,2.000000,0.000000,495.000000,298.200000,0.602424,10.800000,5.200000,0.481481,2.000000,3074889.400000,3157.600000,0.001027,121633961.200000,1.320622
gen_151x151_1,generated 151*151,6.700000,5,151,151,289,39.865259,39.805288,39.770655,39.978168,96445595,96300506,96216720,96718754,4229.884435,0.571952,0.495882,30010142.800000,992086.000000,0.033058,4690982.800000,118.600000,15727753.200000,71.600000,0.000005,4661510.000000,3.000000,0.000001,517.600000,325.400000,0.628671,11.400000,7.800000,0.684211,17.200000,3104930.000000,3075.600000,0.000991,121412247.200000,1.258868
gen_154x154_1,generated 154*154,6.700000,5,154,154,289,41.328438,41.336206,41.237417,41.424817,99986503,100005298,99766296,100219676,4215.993549,0.573842,0.497521,28021910.400000,864967.200000,0.030868,6039897.600000,134.400000,15821560.200000,76.000000,0.000005,5860333.600000,5.800000,0.000001,490.600000,329.000000,0.670607,13.600000,12.000000,0.882353,2.800000,3097182.400000,3072.200000,0.000992,97283306.400000,0.972964
gen_157x157_1,generated 157*157,6.700000,5,157,157,289,43.113597,43.071631,42.979003,43.279894,104305244,104203715,103979618,104707567,4231.621729,0.571722,0.495683,27766851.000000,987651.200000,0.035569,6241570.000000,126.800000,18069675.000000,76.000000,0.000004,4720332.800000,5.200000,0.000001,525.800000,355.000000,0.675162,13.800000,12.800000,0.927536,5.800000,2990281.200000,3550.600000,0.001187,121259464.400000,1.162544
gen_160x160_1,generated 160*160,6.700000,5,160,160,289,44.779896,44.728203,44.630108,44.992159,108336545,108211485,107974162,108850077,4231.896289,0.571685,0.495651,28668983.600000,1019714.600000,0.035569,6257652.800000,116.600000,19901273.800000,86.400000,0.000004,5153383.800000,6.200000,0.000001,609.000000,368.600000,0.605255,12.200000,7.200000,0.590164,12.200000,2997272.800000,2758.600000,0.000920,121015110.200000,1.117029
gen_163x163_1,generated 163*163,6.700000,5,163,163,289,46.573321,46.602148,46.418455,46.654701,112675635,112745379,112300967,112872522,4240.868493,0.570477,0.494603,29178609.000000,993219.000000,0.034039,6240260.000000,144.200000,20972831.800000,96.800000,0.000005,6220771.400000,5.600000,0.000001,595.200000,386.600000,0.649530,23.400000,2.200000,0.094017,4.000000,3393793.800000,4000.200000,0.001179,137811026.800000,1.223077
gen_166x166_1,generated 166*166,6.700000,5,166,166,289,48.030613,47.966885,47.886923,48.286598,116201129,116046951,115853498,116820439,4216.908441,0.573717,0.497413,31700852.600000,1075022.200000,0.033911,6276420.800000,122.600000,21130379.400000,100.000000,0.000005,6290370.200000,4.000000,0.000001,591.000000,383.800000,0.649408,8.000000,6.800000,0.850000,3.600000,3486287.800000,3226.600000,0.000926,149928554.200000,1.290250
gen_169x169_1,generated 169*169,6.700000,5,169,169,289,50.003972,50.024222,49.764182,50.352148,120975591,121024583,120395465,121817942,4235.691712,0.571175,0.495208,34833182.800000,1201654.000000,0.034497,6272961.400000,192.200000,21017979.800000,99.800000,0.000005,6247599.800000,3.800000,0.000001,696.400000,367.400000,0.527570,12.000000,6.200000,0.516667,8.200000,3888789.000000,3722.600000,0.000957,161472152.000000,1.334750
gen_172x172_1,generated 172*172,6.700000,5,172,172,289,51.787632,51.777099,51.713401,51.888760,125290377,125264896,125110791,125535038,4235.072235,0.571256,0.495279,37793109.600000,1301100.400000,0.034427,6254754.800000,115.200000,21051268.600000,93.800000,0.000004,6229525.600000,4.200000,0.000001,805.800000,486.000000,0.603127,25.000000,7.000000,0.280000,1.000000,3953689.800000,6363.200000,0.001609,161580392.600000,1.289647
gen_175x175_1,generated 175*175,6.700000,5,175,175,289,54.310635,54.045829,53.759332,55.394334,131394141,130753496,130060372,134015943,4290.420931,0.563886,0.488889,36786366.400000,1382668.000000,0.037586,7570476.600000,130.600000,20688229.200000,93.000000,0.000004,6187300.600000,8.800000,0.000001,1029.800000,614.800000,0.597009,17.000000,7.400000,0.435294,11.800000,4061252.400000,4211.800000,0.001037,161359777.000000,1.228059
gen_178x178_1,generated 178*178,6.700000,5,178,178,289,55.816578,55.806934,55.780426,55.862918,135037818,135014487,134950355,135149931,4262.019253,0.567645,0.492148,36772749.000000,1348044.400000,0.036659,7794003.200000,119.000000,23076536.200000,98.200000,0.000004,6180980.800000,9.000000,0.000001,1047.800000,722.800000,0.689826,7.200000,6.600000,0.916667,5.800000,4096894.200000,3971.000000,0.000969,160758741.400000,1.190472
gen_181x181_1,generated 181*181,6.700000,5,181,181,289,57.243264,57.203477,57.181196,57.375280,138489430,138393174,138339268,138808820,4227.265041,0.572312,0.496194,37541794.800000,1373549.200000,0.036587,7873231.800000,111.400000,25104914.400000,134.200000,0.000005,6668729.400000,9.400000,0.000001,1316.600000,943.400000,0.716543,0.200000,5.600000,28.000000,5.400000,4286956.000000,3237.200000,0.000755,161706929.400000,1.167648
gen_184x184_1,generated 184*184,6.700000,5,184,184,289,59.789052,59.761262,59.678641,59.895223,144648398,144581165,144381280,144905260,4272.459771,0.566258,0.490945,38595940.000000,1352417.800000,0.035040,7792743.400000,139.800000,26167135.600000,126.000000,0.000005,7797466.400000,3.800000,0.000000,1260.000000,813.600000,0.645714,0.200000,0.200000,1.000000,6.600000,4730322.200000,3429.600000,0.000725,179196660.600000,1.238843
