variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_103x103_1,generated 103*103,6.700000,10,103,103,9,3.305266,3.293718,3.289037,3.370125,7996827,7968887,7957562,8153748,753.777642,3.209726,0.086663,303810.200000,1060.200000,0.003490,657141.900000,105.200000,1743986.700000,0.000000,0.000000,299440.800000,0.000000,0.000000,14.900000,3.600000,0.241611,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,103.200000,11.400000,0.110465,528.000000,0.000066
gen_106x106_1,generated 106*106,6.700000,10,106,106,9,3.472730,3.471270,3.450828,3.505744,8401984,8398452,8348994,8481858,747.773585,3.235494,0.087358,318605.900000,1095.600000,0.003439,329567.200000,99.700000,1848199.500000,0.000000,0.000000,371109.300000,0.000000,0.000000,6.700000,0.700000,0.104478,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,52377.800000,24.600000,0.000470,617500.800000,0.073495
gen_109x109_1,generated 109*109,6.700000,10,109,109,9,3.672033,3.659669,3.650208,3.760437,8884201,8854289,8831399,9098089,747.765424,3.235537,0.087360,181965.300000,806.500000,0.004432,667452.900000,90.700000,1849600.900000,0.000000,0.000000,537959.100000,0.000000,0.000000,3.800000,0.600000,0.157895,0.300000,0.000000,0.000000,0.500000,0.000000,0.000000,287525.000000,58.500000,0.000203,3426298.900000,0.385662
gen_112x112_1,generated 112*112,6.700000,10,112,112,9,3.866938,3.867233,3.849501,3.883505,9355744,9356457,9313556,9395828,745.834184,3.243910,0.087586,427535.100000,1242.400000,0.002906,670175.700000,90.700000,1849678.000000,0.000000,0.000000,499449.900000,0.000000,0.000000,14.200000,5.100000,0.359155,0.300000,0.000000,0.000000,2.100000,0.000000,0.000000,232989.200000,47.400000,0.000203,2782094.000000,0.297367
gen_115x115_1,generated 115*115,6.700000,10,115,115,9,4.105454,4.088326,4.076323,4.223211,9932816,9891376,9862335,10217720,751.063592,3.221324,0.086976,686901.300000,990.900000,0.001443,664462.200000,84.300000,1858124.700000,0.000000,0.000000,669590.400000,0.000000,0.000000,16.200000,6.200000,0.382716,0.000000,0.000000,0.000000,1.100000,0.000000,0.000000,524062.500000,99.600000,0.000190,6250689.900000,0.629297
gen_118x118_1,generated 118*118,6.700000,10,118,118,9,4.308424,4.303870,4.291415,4.372969,10423957,10412937,10382803,10580118,748.632361,3.231808,0.087259,932708.000000,1306.700000,0.001401,671549.100000,86.100000,1853356.700000,0.000000,0.000000,675884.700000,0.000000,0.000000,12.100000,3.300000,0.272727,1.400000,0.100000,0.071429,0.800000,0.000000,0.000000,483895.900000,85.000000,0.000176,5788065.300000,0.555266
gen_121x121_1,generated 121*121,6.700000,10,121,121,9,4.565951,4.549245,4.535268,4.662065,11046894,11006476,10972659,11279433,754.517724,3.206561,0.086577,1199120.500000,1691.800000,0.001411,673021.100000,95.600000,1853864.100000,0.000000,0.000000,670551.400000,0.000000,0.000000,9.400000,0.500000,0.053191,0.500000,0.000000,0.000000,1.500000,0.000000,0.000000,832163.000000,175.200000,0.000211,9935521.900000,0.899395
gen_124x124_1,generated 124*124,6.700000,10,124,124,9,4.759167,4.759337,4.745288,4.778566,11514416,11514827,11480837,11561351,748.856400,3.230817,0.087232,1452171.000000,2061.900000,0.001420,676948.500000,82.100000,1863900.400000,0.000000,0.000000,675634.000000,0.000000,0.000000,10.100000,0.200000,0.019802,0.000000,0.000000,0.000000,1.400000,0.000000,0.000000,862644.600000,139.300000,0.000161,10307296.300000,0.895164
gen_127x127_1,generated 127*127,6.700000,10,127,127,9,5.011365,5.009269,5.001725,5.028161,12124614,12119542,12101290,12165251,751.727571,3.218484,0.086899,1748696.400000,2448.100000,0.001400,673017.400000,82.900000,1862161.000000,0.000000,0.000000,674305.400000,0.000000,0.000000,19.200000,6.800000,0.354167,1.900000,0.000000,0.000000,6.100000,0.000000,0.000000,905168.200000,143.700000,0.000159,10818821.600000,0.892302
gen_130x130_1,generated 130*130,6.700000,10,130,130,9,5.237242,5.237357,5.230910,5.247907,12671055,12671335,12655737,12696860,749.766568,3.226889,0.087126,2006968.500000,2796.200000,0.001393,676715.000000,74.400000,1868540.500000,0.000000,0.000000,676424.300000,0.000000,0.000000,11.800000,0.300000,0.025424,0.100000,0.000000,0.000000,1.700000,0.000000,0.000000,1230824.700000,197.000000,0.000160,14198696.300000,1.120561
gen_133x133_1,generated 133*133,6.700000,10,133,133,9,5.487732,5.493572,5.460244,5.502483,13277163,13291293,13210657,13312853,750.588671,3.223372,0.087031,2306244.400000,3264.000000,0.001415,676552.400000,80.200000,1866282.700000,0.000000,0.000000,675321.300000,0.000000,0.000000,10.000000,0.800000,0.080000,0.000000,0.000000,0.000000,1.200000,0.000000,0.000000,1235739.600000,203.600000,0.000165,14208932.600000,1.070178
gen_136x136_1,generated 136*136,6.700000,10,136,136,9,5.764658,5.761345,5.733055,5.843889,13947094,13939079,13870635,14138787,754.060013,3.208517,0.086630,2621297.900000,3672.700000,0.001401,675013.800000,63.000000,1872081.500000,0.000000,0.000000,673941.800000,0.000000,0.000000,10.300000,1.200000,0.116505,0.800000,0.000000,0.000000,1.500000,0.000000,0.000000,1420767.200000,271.200000,0.000191,14101567.300000,1.011076
gen_139x139_1,generated 139*139,6.700000,10,139,139,9,6.002874,6.002375,5.988082,6.018451,14523412,14522205,14487624,14561100,751.690492,3.218625,0.086903,2923604.200000,4061.400000,0.001389,675268.400000,67.700000,1878813.400000,0.000000,0.000000,675206.900000,0.000000,0.000000,12.300000,0.700000,0.056911,3.400000,0.400000,0.117647,1.100000,0.000000,0.100000,1534686.400000,251.800000,0.000164,14122483.900000,0.972394
gen_142x142_1,generated 142*142,6.700000,10,142,142,9,6.277194,6.280485,6.260619,6.300160,15187179,15195143,15147080,15242746,753.182851,3.212264,0.086731,3228436.800000,4469.900000,0.001385,679577.100000,87.300000,1866705.600000,0.000000,0.000000,675063.500000,0.000000,0.000000,12.200000,1.600000,0.131148,0.100000,0.100000,1.000000,0.900000,0.000000,0.000000,1657662.500000,251.700000,0.000152,14165336.000000,0.932717
gen_145x145_1,generated 145*145,6.700000,10,145,145,9,6.598109,6.585517,6.559908,6.648354,15963560,15933096,15871136,16085123,759.265636,3.186519,0.086036,3585873.600000,5041.200000,0.001406,675077.500000,76.600000,1852410.200000,0.000000,0.000000,673640.100000,0.000000,0.000000,19.800000,1.600000,0.080808,0.400000,0.000000,0.000000,1.000000,0.000000,0.000000,1644649.700000,263.700000,0.000160,14101236.500000,0.883339
gen_148x148_1,generated 148*148,6.700000,10,148,148,9,7.253629,7.222527,7.181840,7.526672,17549565,17474318,17375880,18210171,801.203661,3.019730,0.081533,3411125.000000,5492.700000,0.001610,896237.800000,132.000000,1783468.900000,0.000000,0.000000,643880.800000,0.000000,0.000000,19.400000,8.900000,0.458763,43.200000,34.400000,0.796296,0.800000,0.000000,0.000000,1565222.700000,274.300000,0.000175,13433193.000000,0.765443
gen_151x151_1,generated 151*151,6.700000,10,151,151,9,7.117121,7.116859,7.102992,7.131103,17219375,17218741,17185191,17253205,755.202623,3.203683,0.086499,3681403.000000,5782.300000,0.001571,877859.100000,75.400000,1875569.200000,0.000000,0.000000,673380.400000,0.000000,0.000000,20.100000,7.800000,0.388060,1.800000,0.000000,0.000000,1.800000,0.000000,0.000000,1657224.700000,280.100000,0.000169,14163475.700000,0.822531
gen_154x154_1,generated 154*154,6.700000,10,154,154,9,7.421468,7.411133,7.394104,7.485364,17956526,17931521,17890318,18111124,757.148170,3.195594,0.086281,3358566.500000,5418.200000,0.001613,1114387.300000,105.400000,1876443.600000,0.000000,0.000000,678669.800000,0.000000,0.000000,25.500000,4.600000,0.180392,2.800000,1.700000,0.607143,0.900000,0.000000,0.000000,1651945.300000,286.300000,0.000173,14161261.300000,0.788641
