variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_58x58_1,generated 58*58,1.700000,10,58,58,289,21.048507,21.051708,21.021466,21.079670,50918763,50926507,50853348,50994149,15136.374257,0.159821,0.138565,33042973.300000,237955.800000,0.007201,57.800000,10.000000,0.173010,11429242.300000,27096.500000,0.002371,139903633.300000,2.747585
gen_59x59_1,generated 59*59,1.700000,10,59,59,289,21.778028,21.765731,21.734256,21.863670,52683618,52653871,52577728,52890796,15134.621660,0.159840,0.138581,34210048.700000,259368.000000,0.007582,47.500000,7.100000,0.149474,11831328.700000,27760.300000,0.002346,144842601.700000,2.749291
gen_60x60_1,generated 60*60,1.700000,10,60,60,289,22.564627,22.553487,22.540730,22.673884,54586628,54559678,54528818,54850933,15162.952222,0.159542,0.138323,35397380.300000,270021.100000,0.007628,46.000000,8.900000,0.193478,12240368.300000,28527.600000,0.002331,149867255.300000,2.745494
gen_61x61_1,generated 61*61,1.700000,10,61,61,289,23.297652,23.297844,23.268589,23.329204,56359761,56360225,56289455,56436090,15146.401774,0.159716,0.138473,36604957.200000,280340.800000,0.007659,50.000000,11.300000,0.226000,12656353.200000,28716.400000,0.002269,154977556.200000,2.749791
gen_62x62_1,generated 62*62,1.700000,10,62,62,289,24.061343,24.061411,24.012531,24.135449,58207455,58207620,58089372,58386727,15142.418054,0.159758,0.138510,37832810.100000,290907.300000,0.007689,49.500000,10.200000,0.206061,13079301.100000,29026.900000,0.002219,160173596.100000,2.751771
gen_63x63_1,generated 63*63,1.700000,10,63,63,289,24.863297,24.845511,24.814910,24.975062,60147292,60104266,60030238,60417667,15154.268582,0.159633,0.138402,39080909.500000,300322.700000,0.007685,49.200000,13.100000,0.266260,13509195.500000,30290.400000,0.002242,165455284.500000,2.750835
gen_64x64_1,generated 64*64,1.700000,10,64,64,289,25.403232,25.394373,25.347521,25.524701,61453387,61431958,61318617,61747236,15003.268311,0.161239,0.139794,40349264.700000,310450.500000,0.007694,50.500000,12.000000,0.237624,13946041.700000,692.300000,0.000050,170822652.700000,2.779711
gen_65x65_1,generated 65*65,1.700000,10,65,65,289,26.212009,26.203163,26.185901,26.287373,63409940,63388543,63346784,63592255,15008.269822,0.161186,0.139748,41637876.000000,320197.900000,0.007690,43.200000,12.100000,0.280093,14389840.000000,713.900000,0.000050,176275701.000000,2.779938
gen_66x66_1,generated 66*66,1.700000,10,66,66,289,27.046097,27.042614,27.005551,27.124954,65427776,65419351,65329691,65618542,15020.150597,0.161058,0.139638,42946743.700000,330595.700000,0.007698,51.100000,12.400000,0.242661,14840590.700000,841.400000,0.000057,181814429.700000,2.778857
gen_67x67_1,generated 67*67,1.700000,10,67,67,289,28.116644,28.114817,28.038513,28.217797,68017658,68013240,67828650,68262362,15152.073513,0.159656,0.138422,44275857.400000,340744.800000,0.007696,50.300000,10.100000,0.200795,15298288.400000,25956.700000,0.001697,187438811.400000,2.755738
gen_68x68_1,generated 68*68,1.700000,10,68,68,289,28.949459,28.954887,28.893092,28.992281,70032473,70045605,69896114,70136065,15145.431012,0.159727,0.138483,45625246.400000,351584.700000,0.007706,52.200000,20.500000,0.392720,15762947.400000,23203.300000,0.001472,193148926.400000,2.757991
gen_69x69_1,generated 69*69,1.700000,10,69,69,289,29.786354,29.781918,29.748559,29.868879,72056858,72046127,71965428,72256498,15134.815795,0.159838,0.138580,46994880.700000,362174.200000,0.007707,56.400000,15.300000,0.271277,16234552.700000,20598.300000,0.001269,198944693.700000,2.760940
gen_70x70_1,generated 70*70,1.700000,10,70,70,289,30.710370,30.683471,30.620404,30.890420,74292124,74227055,74074486,74727688,15161.657959,0.159555,0.138334,48384764.100000,373176.600000,0.007713,51.800000,17.300000,0.333977,16713108.100000,20686.100000,0.001238,204826117.100000,2.757037
gen_71x71_1,generated 71*71,1.700000,10,71,71,289,31.602969,31.585057,31.516091,31.721846,76451460,76408130,76241293,76739040,15165.931363,0.159510,0.138295,49794919.600000,384019.500000,0.007712,58.800000,22.000000,0.374150,17198621.600000,20895.600000,0.001215,210793270.600000,2.757217
gen_72x72_1,generated 72*72,1.700000,10,72,72,289,32.432152,32.440690,32.386609,32.487815,78457409,78478064,78347235,78592065,15134.531057,0.159841,0.138582,51225321.800000,393721.700000,0.007686,55.600000,16.800000,0.302158,17691082.800000,21297.800000,0.001204,216846077.800000,2.763870
gen_73x73_1,generated 73*73,1.700000,10,73,73,289,33.812689,33.623198,33.349749,34.655421,81797095,81338693,80677187,83835769,15349.426722,0.157604,0.136642,52675982.600000,406013.100000,0.007708,62.600000,19.600000,0.313099,18190498.600000,21466.100000,0.001180,222984567.600000,2.726070
gen_74x74_1,generated 74*74,1.700000,10,74,74,289,34.285831,34.295336,34.240126,34.307431,82941859,82964853,82831293,82994113,15146.431519,0.159716,0.138474,54146897.000000,416824.800000,0.007698,58.700000,24.500000,0.417376,18696865.000000,21745.900000,0.001163,229208740.000000,2.763487
gen_75x75_1,generated 75*75,1.700000,10,75,75,289,35.458853,35.240535,35.198802,37.322847,85779405,85251267,85150310,90288641,15249.672000,0.158635,0.137536,55638069.000000,428784.900000,0.007707,74.400000,28.300000,0.380376,19210184.000000,22064.000000,0.001149,235518589.000000,2.745631
gen_76x76_1,generated 76*76,1.700000,10,76,76,289,36.163741,36.170074,36.117110,36.206499,87484535,87499856,87371730,87587973,15146.214508,0.159718,0.138475,57149494.000000,439612.000000,0.007692,64.500000,25.700000,0.398450,19730452.000000,22315.900000,0.001131,241914115.000000,2.765221
gen_77x77_1,generated 77*77,1.700000,10,77,77,289,37.196339,37.199956,37.120263,37.268936,89982460,89991210,89798422,90158081,15176.667229,0.159397,0.138198,58681178.900000,452295.700000,0.007708,77.900000,22.800000,0.292683,20257675.900000,22694.700000,0.001120,248395324.900000,2.760486
gen_78x78_1,generated 78*78,1.700000,10,78,78,289,38.116108,38.120513,38.060599,38.153355,92207607,92218266,92073327,92297713,15155.753945,0.159618,0.138388,60233116.900000,463678.500000,0.007698,72.300000,29.300000,0.405256,20791848.900000,22904.900000,0.001102,254962211.900000,2.765089
gen_79x79_1,generated 79*79,1.700000,10,79,79,289,39.620735,39.574058,39.085091,40.784117,95847434,95734517,94551647,98661800,15357.704535,0.157519,0.136569,61805306.600000,475887.900000,0.007700,88.000000,38.200000,0.434091,21332974.600000,23205.400000,0.001088,261614757.600000,2.729492
