variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_l1d_stores,avg_l1i_misses,avg_dtlb_loads,avg_dtlb_load_misses,avg_dtlb_load_miss_rate,avg_dtlb_stores,avg_dtlb_store_misses,avg_dtlb_store_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_llc_stores,avg_llc_store_misses,avg_llc_store_miss_rate,avg_itlb_load_misses,avg_major_page_faults,avg_minor_page_faults,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
gen_100x100_1,generated 100*100,6.700000,5,100,100,289,20.606374,20.599873,20.578796,20.629560,49852444,49836717,49785728,49908539,4985.244400,0.485287,0.420744,19047176.600000,258690.600000,0.013582,3675913.400000,237.800000,19608716.400000,6.000000,0.000000,3256844.400000,18.200000,0.000006,78.400000,45.000000,0.573980,12.200000,5.200000,0.426230,11.400000,0.000000,10.000000,3120945.800000,31284.600000,0.010024,46122795.200000,0.925186
gen_103x103_1,generated 103*103,6.700000,5,103,103,289,22.678569,22.640425,22.624273,22.773516,54865670,54773389,54734313,55095372,5171.615609,0.467798,0.405581,24727085.200000,298391.600000,0.012067,3520341.800000,290.400000,18760476.800000,11.200000,0.000001,3557501.000000,20.000000,0.000006,116.000000,55.800000,0.481034,15.000000,5.600000,0.373333,11.200000,0.000000,12.000000,3969168.600000,39920.200000,0.010058,63327093.200000,1.154221
gen_106x106_1,generated 106*106,6.700000,5,106,106,289,23.300765,23.296565,23.192170,23.419889,56370947,56360788,56108227,56659141,5016.994215,0.482216,0.418081,27375182.200000,329947.000000,0.012053,3635189.000000,185.400000,19346435.200000,9.600000,0.000000,3636398.600000,14.000000,0.000004,116.000000,50.600000,0.436207,9.200000,7.200000,0.782609,7.600000,0.000000,12.200000,4370694.200000,43040.000000,0.009847,70601413.400000,1.252443
gen_109x109_1,generated 109*109,6.700000,5,109,109,289,25.138264,25.130777,25.049682,25.255072,60816442,60798329,60602138,61099032,5118.798249,0.472626,0.409767,32273437.000000,389417.800000,0.012066,3562159.200000,187.200000,19064619.800000,12.600000,0.000001,3578989.000000,16.800000,0.000005,128.800000,74.800000,0.580745,14.000000,3.600000,0.257143,5.200000,0.000000,14.200000,5278697.000000,47431.200000,0.008985,73926224.200000,1.215563
gen_112x112_1,generated 112*112,6.700000,5,112,112,289,25.894344,25.920235,25.696325,26.100993,62645551,62708188,62166487,63145492,4994.064971,0.484430,0.420001,35281231.200000,427479.600000,0.012116,3659873.000000,147.400000,19525219.400000,12.400000,0.000001,3643450.000000,19.800000,0.000005,146.400000,85.800000,0.586066,17.200000,5.400000,0.313953,12.200000,0.000000,16.200000,5386196.000000,47108.200000,0.008746,75258736.600000,1.201342
gen_115x115_1,generated 115*115,6.700000,5,115,115,289,27.988326,27.977734,27.931944,28.068434,67711482,67685858,67575078,67905286,5119.960832,0.472518,0.409673,33715687.400000,437987.800000,0.012991,4882142.400000,225.800000,18942198.200000,15.800000,0.000001,3546633.000000,0.000000,0.000000,166.200000,92.200000,0.554753,17.000000,7.600000,0.447059,8.000000,0.000000,26.200000,5261584.200000,44834.000000,0.008521,73964469.000000,1.092348
gen_118x118_1,generated 118*118,6.700000,5,118,118,289,28.665600,28.689132,28.597119,28.727352,69350009,69406940,69184335,69499405,4980.609667,0.485739,0.421136,38781164.200000,499105.600000,0.012870,4609130.600000,217.600000,19589596.800000,14.600000,0.000001,3645762.000000,44.600000,0.000012,158.200000,77.200000,0.487990,12.000000,7.600000,0.633333,10.400000,0.000000,29.000000,5810539.200000,48799.200000,0.008398,83418639.400000,1.202864
gen_121x121_1,generated 121*121,6.700000,5,121,121,289,30.872950,30.870974,30.830201,30.905855,74690355,74685576,74586933,74769962,5101.451745,0.474234,0.411161,35616033.800000,459632.200000,0.012905,5363879.800000,149.200000,23347244.000000,27.800000,0.000001,3535420.400000,0.000000,0.000000,182.600000,94.800000,0.519168,8.600000,13.800000,1.604651,0.200000,0.000000,31.800000,5291547.000000,43406.200000,0.008203,74766494.200000,1.001019
gen_124x124_1,generated 124*124,6.700000,5,124,124,289,31.517001,31.528960,31.449208,31.554500,76248099,76277031,76084090,76338819,4958.903421,0.487864,0.422978,36591003.000000,472860.400000,0.012923,5522333.400000,154.400000,26005059.000000,25.400000,0.000001,4120982.400000,0.000000,0.000000,185.400000,85.000000,0.458468,17.400000,15.800000,0.908046,0.800000,0.000000,34.600000,5439501.400000,42904.600000,0.007888,76846761.600000,1.007852
gen_127x127_1,generated 127*127,6.700000,5,127,127,289,33.720974,33.721744,33.635147,33.789050,81580031,81581895,81372393,81744727,5057.972038,0.478308,0.414693,37011097.000000,452896.000000,0.012237,5363768.400000,137.800000,29070763.200000,35.600000,0.000001,5247812.600000,139.800000,0.000027,184.400000,99.800000,0.541215,4.400000,0.000000,0.000000,16.400000,0.000000,37.400000,6027441.000000,47433.000000,0.007870,88195716.200000,1.081094
